date;temperature_2m;wind_speed_10m;wind_speed_100m;relative_humidity_2m;weather_code;rain;pressure_msl;apparent_temperature;precipitation;cloud_cover;soil_temperature_0_to_7cm;CODIGO CIUDAD
23/4/2023 7:00;10926499;3396233;66185193;8658815;30;0;10182;10110747;0;1000;10676499;OCC
23/4/2023 8:00;117765;21897945;3671294;8268405;30;0;10190;11176652;0;1000;113765;NLO
23/4/2023 9:00;123765;50911684;7072878;77624985;510;1;10199;11260727;1;1000;124765;GPS
23/4/2023 10:00;128765;29024127;40249224;74112206;510;1;10199;12027731;1;1000;13426499;GPS
23/4/2023 11:00;130265;43349743;56233797;7388791;510;2;10195;11994795;2;1000;14176499;SCY
23/4/2023 12:00;130765;3219938;40249224;731498;530;6;10189;12181404;6;1000;145765;NLO
23/4/2023 13:00;125765;36;46938252;86172714;610;14;10178;121619;14;1000;139765;ZAM
23/4/2023 14:00;123265;40249224;51544156;8907019;610;13;10173;11923231;13;1000;135265;ZAM
23/4/2023 15:00;127765;23051248;29024127;8448523;530;6;10165;12521704;6;1000;135265;TEN
23/4/2023 16:00;124765;8669949;10948973;8332762;510;4;10162;11151015;4;1000;132265;TEN
23/4/2023 17:00;12176499;8654986;11090103;8470151;510;2;10162;108392;2;1000;127265;TEN
23/4/2023 18:00;117265;6379216;947012;87837105;510;3;10169;10749196;3;1000;122265;TEN
23/4/2023 19:00;115265;38773184;65693827;85201515;510;2;10185;10734453;2;1000;115765;OCC
23/4/2023 20:00;104765;5495161;6489992;92589386;510;3;10190;950307;3;1000;11176499;NLO
23/4/2023 21:00;100765;54833565;7289445;9225496;510;2;10192;8982998;2;1000;108265;SCY
23/4/2023 22:00;99765;39763298;72805495;87678505;30;0;10199;88814535;0;1000;10426499;GPS
23/4/2023 23:00;95765;28799999;396;9006073;510;1;10205;8641322;1;1000;102265;ETR
24/4/2023 0:00;9926499;1484318;8049845;8767393;510;4;10204;91821995;4;1000;100265;ETR
24/4/2023 1:00;93765;5154415;5634891;888273;530;5;10199;8009316;5;1000;97765;GPS
24/4/2023 2:00;86265;6151683;69247384;9060728;510;1;10192;7003833;1;1000;9426499;SCY
24/4/2023 3:00;84265;53517847;9659814;8312009;30;0;10190;65857573;0;1000;8926499;NLO
24/4/2023 4:00;82265;54833565;10805998;8454684;30;0;10184;637761;0;1000;8676499;OCC
24/4/2023 5:00;73265;5991594;9793059;880413;30;0;10181;53375673;0;1000;83765;OCC
24/4/2023 6:00;60264997;8209263;9686609;8978962;30;0;10188;35031066;0;990;78265;NLO
24/4/2023 7:00;9676499;38773184;8913181;82987816;30;0;10195;8325738;0;970;8926499;SCY
24/4/2023 8:00;12426499;36;50911684;72289406;30;0;10202;1127359;0;1000;103765;ETR
24/4/2023 9:00;140265;252;2968636;6557088;30;0;10203;13062347;0;1000;12426499;ETR
24/4/2023 10:00;15676499;11384199;11384199;5936298;30;0;10189;16347252;0;960;148265;NLO
24/4/2023 11:00;16876501;5154415;66087217;57671364;20;0;10178;17823238;0;730;16876501;ZAM
24/4/2023 12:00;179265;43498964;4829907;53788765;20;0;10158;1870785;0;780;18226501;AMB
24/4/2023 13:00;18376501;10390226;12849528;54822227;30;0;10144;18831545;0;840;193265;LOH
24/4/2023 14:00;165265;14480773;18472595;59367786;510;1;10142;1469681;1;600;190265;LOH
24/4/2023 15:00;165765;37064266;46800003;62670475;510;1;10133;1682638;1;990;191765;CUE
24/4/2023 16:00;148265;11983188;15496736;6939244;30;0;10144;12892801;0;910;183265;LOH
24/4/2023 17:00;139765;7342588;9605998;70881294;30;0;10152;12584988;0;1000;171765;LOH
24/4/2023 18:00;128265;29024127;6439876;77694626;30;0;10162;12149509;0;1000;157265;TEN
24/4/2023 19:00;13176499;51919937;6989936;714518;30;0;10161;11929491;0;1000;138765;TEN
24/4/2023 20:00;10926499;53999996;6725354;8285901;30;0;10167;9649296;0;970;12676499;TEN
24/4/2023 21:00;97765;4452954;4896529;8300011;30;0;10180;8365619;0;840;115765;OCC
24/4/2023 22:00;127265;34152596;4896529;68735405;30;0;10192;11490839;0;850;107265;SCY
24/4/2023 23:00;122765;27416782;41046314;7103728;30;0;10197;11151142;0;1000;100265;GPS
25/4/2023 0:00;113265;38939953;54119864;7852466;510;1;10202;10167996;1;1000;98265;ETR
25/4/2023 1:00;92265;39763298;5904439;8881474;510;1;10200;7994112;1;1000;97765;GPS
25/4/2023 2:00;96265;36;9565437;8854638;30;0;10194;8535867;0;1000;9926499;SCY
25/4/2023 3:00;90265;34152596;8049845;9032711;30;0;10195;788822;0;1000;98265;SCY
25/4/2023 4:00;81765;40249224;6379216;91198975;30;0;10193;67804356;0;800;93265;SCY
25/4/2023 5:00;87765;38939953;56920996;87868866;30;0;10197;7411401;0;860;88765;GPS
25/4/2023 6:00;73265;43498964;62145634;9082738;30;0;10202;56761847;0;1000;83265;ETR
25/4/2023 7:00;89765;22768397;24149535;8036437;30;0;10217;75952816;0;1000;89765;GYE
