id;region;fecha;hora;es_dia;temperatura_2m;lluvia_mm;humedad_relativa_2m;temperatura_aparente;radiacion_directa;cod_clima;presion_msl
1;sierra;1/1/2020;0:00;0;10.4;9.20;95;10.0;2.5;61;1018.7
2;costa;1/1/2020;0:00;0;27.2;0.20;75;30.9;147.5;51;1009.4
3;oriente;1/1/2020;0:00;0;20.5;5.50;99;24.1;1.2;53;1015.5
4;sierra;1/1/2020;12:00;1;12.5;3.30;100;12.4;54.0;53;1018.4
5;costa;1/1/2020;12:00;1;24.0;0.80;94;28.9;0.7;51;1012.1
6;oriente;1/1/2020;12:00;1;22.8;2.50;96;27.2;44.7;51;1015.2
7;sierra;2/1/2020;0:00;0;9.8;4.40;99;9.3;0.0;53;1018.9
8;costa;2/1/2020;0:00;0;26.0;0.60;83;30.9;25.3;51;1009.7
9;oriente;2/1/2020;0:00;0;19.3;5.80;97;22.4;2.2;53;1015.1
10;sierra;2/1/2020;12:00;1;9.5;19.20;100;8.7;8.2;63;1020.8
11;costa;2/1/2020;12:00;1;23.4;0.90;91;27.7;0.3;51;1012.4
12;oriente;2/1/2020;12:00;1;22.8;3.20;95;27.0;90.2;53;1016.2
13;sierra;3/1/2020;0:00;0;9.5;6.20;99;9.0;2.3;55;1021.1
14;costa;3/1/2020;0:00;0;26.1;0.00;84;30.7;38.7;3;1010.8
15;oriente;3/1/2020;0:00;0;19.6;1.70;97;22.7;7.5;51;1015.8
16;sierra;3/1/2020;12:00;1;8.7;8.60;91;7.1;20.3;61;1023.7
17;costa;3/1/2020;12:00;1;23.2;0.00;92;27.9;1.8;1;1012.8
18;oriente;3/1/2020;12:00;1;22.9;4.30;94;27.3;41.7;53;1018.1
19;sierra;4/1/2020;0:00;0;8.7;0.10;99;8.0;9.5;51;1022.7
20;costa;4/1/2020;0:00;0;25.8;0.20;86;30.5;176.3;51;1012.0
21;oriente;4/1/2020;0:00;0;18.4;0.00;93;20.7;10.2;3;1017.5
22;sierra;4/1/2020;12:00;1;13.3;0.00;73;12.1;257.0;3;1021.1
23;costa;4/1/2020;12:00;1;23.6;0.00;85;27.7;0.8;2;1014.9
24;oriente;4/1/2020;12:00;1;23.6;0.40;68;25.6;132.7;51;1018.4
25;sierra;5/1/2020;0:00;0;11.2;0.10;87;10.8;13.2;51;1019.7
26;costa;5/1/2020;0:00;0;26.9;0.40;85;32.6;136.0;51;1012.5
27;oriente;5/1/2020;0:00;0;18.2;0.00;90;20.2;11.2;0;1016.4
28;sierra;5/1/2020;12:00;1;14.0;1.30;93;14.1;304.0;51;1019.6
29;costa;5/1/2020;12:00;1;23.5;0.60;92;28.3;0.7;51;1015.2
30;oriente;5/1/2020;12:00;1;22.9;0.50;72;24.4;98.7;51;1017.9
31;sierra;6/1/2020;0:00;0;11.1;1.00;88;10.8;13.3;51;1018.6
32;costa;6/1/2020;0:00;0;25.9;11.60;89;31.0;155.5;61;1012.6
33;oriente;6/1/2020;0:00;0;19.3;0.00;87;21.3;10.0;3;1015.6
34;sierra;6/1/2020;12:00;1;13.6;2.70;80;12.8;255.8;51;1018.3
35;costa;6/1/2020;12:00;1;23.9;0.60;96;29.0;1.2;51;1013.1
36;oriente;6/1/2020;12:00;1;23.9;0.00;66;25.4;194.8;3;1015.7
37;sierra;7/1/2020;0:00;0;11.3;1.20;82;10.7;2.8;51;1017.9
38;costa;7/1/2020;0:00;0;26.6;1.10;82;31.2;230.5;51;1009.7
39;oriente;7/1/2020;0:00;0;18.5;0.00;94;21.0;11.7;3;1015.0
40;sierra;7/1/2020;12:00;1;12.2;0.70;88;11.4;225.0;51;1018.6
41;costa;7/1/2020;12:00;1;24.0;0.80;91;28.9;0.0;51;1012.6
42;oriente;7/1/2020;12:00;1;22.2;1.00;77;24.1;97.5;51;1016.5
43;sierra;8/1/2020;0:00;0;9.3;0.90;90;8.7;8.0;51;1020.0
44;costa;8/1/2020;0:00;0;25.4;0.90;88;30.4;162.2;51;1010.9
45;oriente;8/1/2020;0:00;0;18.5;0.00;86;20.4;11.2;1;1014.9
46;sierra;8/1/2020;12:00;1;11.6;3.80;83;10.6;80.3;53;1021.1
47;costa;8/1/2020;12:00;1;23.5;0.00;86;27.6;1.5;2;1012.4
48;oriente;8/1/2020;12:00;1;24.1;0.20;65;26.2;168.7;51;1016.9
49;sierra;9/1/2020;0:00;0;8.7;0.10;71;6.5;10.0;51;1020.7
50;costa;9/1/2020;0:00;0;26.5;1.40;86;31.6;217.2;51;1009.5
51;oriente;9/1/2020;0:00;0;18.9;0.30;92;20.8;10.8;51;1015.2
52;sierra;9/1/2020;12:00;1;12.4;0.00;68;10.7;368.3;3;1020.7
53;costa;9/1/2020;12:00;1;22.7;0.00;94;26.8;0.8;3;1011.7
54;oriente;9/1/2020;12:00;1;24.8;1.20;66;27.6;116.5;51;1016.2
55;sierra;10/1/2020;0:00;0;7.8;0.10;94;6.3;9.5;51;1020.4
56;costa;10/1/2020;0:00;0;27.8;0.10;74;32.6;212.5;51;1006.3
57;oriente;10/1/2020;0:00;0;18.8;0.00;90;20.5;10.8;0;1014.0
58;sierra;10/1/2020;12:00;1;10.3;1.00;90;8.9;111.8;51;1019.6
59;costa;10/1/2020;12:00;1;23.7;0.10;94;28.4;0.8;51;1008.5
60;oriente;10/1/2020;12:00;1;25.7;0.10;58;27.4;256.7;51;1013.4
61;sierra;11/1/2020;0:00;0;8.0;2.10;100;6.7;0.0;51;1020.5
62;costa;11/1/2020;0:00;0;26.6;5.10;89;32.6;176.5;53;1005.8
63;oriente;11/1/2020;0:00;0;19.4;1.70;96;21.9;1.8;51;1014.7
64;sierra;11/1/2020;12:00;1;9.5;1.30;90;8.0;8.0;51;1020.8
65;costa;11/1/2020;12:00;1;23.2;0.00;95;27.7;1.5;1;1009.7
66;oriente;11/1/2020;12:00;1;23.7;0.30;75;26.9;66.2;51;1015.2
67;sierra;12/1/2020;0:00;0;8.6;1.20;99;7.7;1.5;51;1020.5
68;costa;12/1/2020;0:00;0;26.7;0.50;81;31.6;225.2;51;1007.4
69;oriente;12/1/2020;0:00;0;19.5;0.10;95;22.0;9.8;51;1014.7
70;sierra;12/1/2020;12:00;1;11.4;2.10;94;10.6;93.3;51;1020.8
71;costa;12/1/2020;12:00;1;24.1;3.80;94;29.0;0.3;53;1009.6
72;oriente;12/1/2020;12:00;1;25.9;0.10;64;28.4;222.0;51;1014.6
73;sierra;13/1/2020;0:00;0;8.4;3.50;100;6.8;9.0;53;1020.7
74;costa;13/1/2020;0:00;0;27.1;0.40;76;31.3;183.2;51;1007.1
75;oriente;13/1/2020;0:00;0;18.9;0.60;90;20.7;8.8;51;1015.0
76;sierra;13/1/2020;12:00;1;11.7;1.00;100;11.3;196.5;51;1020.4
77;costa;13/1/2020;12:00;1;23.4;0.00;92;27.9;1.0;2;1009.0
78;oriente;13/1/2020;12:00;1;25.6;0.90;65;28.5;221.0;51;1014.3
79;sierra;14/1/2020;0:00;0;9.2;0.40;81;8.0;13.7;51;1020.4
80;costa;14/1/2020;0:00;0;26.8;3.10;84;31.9;202.2;53;1007.4
81;oriente;14/1/2020;0:00;0;19.5;0.10;90;21.6;9.3;51;1014.6
82;sierra;14/1/2020;12:00;1;10.8;0.20;87;9.7;184.3;51;1019.7
83;costa;14/1/2020;12:00;1;23.4;0.00;92;27.5;1.3;3;1009.3
84;oriente;14/1/2020;12:00;1;26.7;0.40;56;28.6;235.7;51;1012.9
85;sierra;15/1/2020;0:00;0;8.3;0.90;98;7.2;4.0;51;1019.2
86;costa;15/1/2020;0:00;0;27.3;1.70;82;32.6;189.8;51;1006.4
87;oriente;15/1/2020;0:00;0;19.1;0.00;84;20.4;10.0;2;1013.5
88;sierra;15/1/2020;12:00;1;12.8;0.10;76;11.6;245.8;51;1019.1
89;costa;15/1/2020;12:00;1;23.8;0.00;89;28.1;1.2;1;1009.4
90;oriente;15/1/2020;12:00;1;25.0;0.30;60;26.7;44.2;51;1014.2
91;sierra;16/1/2020;0:00;0;9.9;0.60;82;8.5;7.3;51;1019.6
92;costa;16/1/2020;0:00;0;26.8;0.20;78;31.9;151.8;51;1007.5
93;oriente;16/1/2020;0:00;0;20.1;0.00;84;21.9;11.0;1;1013.6
94;sierra;16/1/2020;12:00;1;11.8;5.30;99;11.2;45.7;53;1021.6
95;costa;16/1/2020;12:00;1;24.0;1.10;92;29.1;0.2;51;1009.1
96;oriente;16/1/2020;12:00;1;25.8;0.70;63;28.5;162.3;51;1016.3
97;sierra;17/1/2020;0:00;0;8.9;5.90;93;7.9;16.2;53;1021.4
98;costa;17/1/2020;0:00;0;26.7;1.00;82;31.6;140.3;51;1006.9
99;oriente;17/1/2020;0:00;0;19.3;0.20;95;21.6;11.3;51;1015.2
100;sierra;17/1/2020;12:00;1;11.3;10.10;100;10.3;31.3;61;1022.5
101;costa;17/1/2020;12:00;1;23.8;0.20;93;28.8;0.8;51;1008.5
102;oriente;17/1/2020;12:00;1;24.1;2.10;79;27.9;57.5;51;1017.5
103;sierra;18/1/2020;0:00;0;9.5;10.70;100;8.3;8.0;61;1020.8
104;costa;18/1/2020;0:00;0;27.6;0.90;75;32.6;130.3;51;1005.7
